Name	Region	City Count	Area	Population	Density	Density_Log2	Pop Bas Resid Reg	Hou Bas Resid Reg	Pop in	Pop out	Pop 0-4	Pop 5-14	Pop 15-19	Pop 20-29	Pop 30-44	Pop 45-49	Pop 50-54	Pop 55-59	Pop 60-64	Pop 65-	Municipal workers	New const hous stoc	Priv establishments	Employees priva busi	Total Retail Store	Ann Sales Store	Ann Sales Ret Store	Ann Ship ind prod	Agriculture output	Taxable income	Local tax rev	Exp Total	Ownership car	Educational facility	Books Station Retail	Libraries	Nursery	Community center	Hospital	Nat man Comp Index	Population index	Nat man Per capita	Day/Night pop ratio	Bas Resid Reg growth	Population density	Cens househ (to single)	Ind_1_agriculture	Ind_2_mine_cons_manu	Ind_3_busi_pub_serv	Ret shop ann grow	Income gap	Incr local tax rev	Exp Parliament	Exp General	Exp Livelihood	Exp Health	Exp Labor	Exp Agriculture	Exp Busi_Indust	Exp Construction	Exp Fire	Exp Education	Exp Disaster Recovering	Exp Bonds
Okhotsk	1	8	244.075	51157.125	209.5959234	7.711466847	118,1851	857,1886	180,1483	80,1473	116,1819	66,1801	1120,1878	681,1728	75,1194	878,1798	1111,1829	758,1870	67,507	260,1633	301,1622	126,1613	614,1372	60,1832	663,1422	27,1588	132,1506	117,1596	528,1677	117,1233	229,1879	414,1685	1142,1515	300,1605	569,1638	240,1795	152,1357	128,1369	209,1759	61.5,1847	122.5,1851	278,1401.5	567.5,1847	77.5,1715	122,999	100,1364.5	596,1573	945,1872.5	10,1150.5	24,1036	118,1231.5	14,1241.5	210,1821	558,1852	548,1490	667,1457	289,1690	538,1782	518,1809	687,1795	129,1742	469,1771	472.5,1859	6,1538
Okhotskoye shore	0	18	593.915	17364.27778	29.23697461	4.869722127	30,1594	17,1199	511,1854	1072,1843	99,1243	79,1186	13,1011	40,1830	190,1202	252,1870	265,1639	599,1817	17,1729	693,1765	519,1863	74,1035	400,1639	333,1669	430,1807	441,1787	836,1760	149,1738	1456,1889	496,1506	133,1299	1008,1886	641,1819	377,1877	599,1888	240,1878	28,1805	128,1800	209,1873	35,1625	29.5,1594	478,1845	929.5,1736.5	29,1126	9.5,537.5	460.5,1800	841.5,1880	36.5,1415	7.5,1544.5	75.5,1733	498.5,1510.5	6,1391.5	563,1880	617,1859	513,1843	81,1835	289,1886	862,1894	862,1765	1127,1862	857,1893	746,1897	472.5,1801	1182,1893
Saitama	7	21	39.45761905	108791.619	2757.176476	11.4289759	881,1781	357,1729	531,1846	420,1814	865,1881	571,1808	284,1774	1205,1764	1161,1873	99,1880	13,1733	55,1618	127,1806	34,575	230,1640	875,1892	45,1695	205,1868	8,1466	577,1867	401,1795	80,1550	233,1463	1020,1794	1060,1628.5	4,464.5	87,1838	117,1689	142,1573	240,1320	74,725	339,902	442,1575	751.5,1735	881.5,1781	30,1322.5	11,1863	913.5,1881	1230,1860	174,1626.5	70,1043.5	153,1687	346,1846.5	282,1732	1019.5,1793.5	523.5,1733	114.5,738	65,1214	2,458.5	33,1022.5	803,1776	176,906	80,896.5	281,1461.5	200,802	21,844	472.5,1051	104,376.5
Ichinomiya	8	2	72.04	239811.5	3328.865908	11.70081504	1504,1858	1186,1202	745,961	205,579	1554,1622	1610,1664	1033,1166	1147,1165	1594,1637	918,986	148,177	209,230	946,1240	418,451	797,937	1416,1563	572,833	569,833	375,435	1077,1577	992,1246	1029,1132	311,380	1447,1571	1034,1052	27,34	912,960	590,1310	749,824	630,648	754,774	446,529	520,664	1410.5,1841	1504,1858	296.5,327	277,408.5	1556.5,1600	1651,1652	534,580.5	227.5,227.5	1484.5,1591.5	1030.5,1150.5	1259.5,1508.5	1447,1573.5	1241.5,1315.5	172,471	1,233	300,355	75,387	1449,1539	256,569	425,669	410,497	81,85	30,61	472.5,1007	105,149
Hachiooji	7	3	128.1633333	249477	1946.555177	10.92670752	894,1890	311,1219	600,1649	686,1576	360,1194	743,1027	351,1796	1005,1798	713,1773	1239,1838	84,1652	41,1399	646,877	330,967	499,747	701,1698	101,1323	669,1162	34,802	688,1469	349,1353	909,1705	191,310	1448,1784	1086,1539	282,877	122,589	464,1116	391,856	563,1368	495,803	270,1532	568,1190	892,1875	893.5,1890	236,1135	415.5,1180	605.5,1715	766,1748	1284.5,1768.5	227.5,227.5	609.5,1591.5	1092.5,1629.5	888,1558	1447,1788	696,1639.5	84,968	40,1324	296,1326	566,1544	1080,1684	102,526	218,587	453,962	350,1272	414,969	1040,1388	57,1197
Yatsushiro	6	15	178.7866667	20101.2	112.4312029	6.812898671	40,1622	423,1724	170,1369	145,1551	87,1828	47,1697	471,1760	112,755	28,746	184,1560	1113,1688	430,1721	132,1466	851,1836	118,1420	67,909	29,1680	11,1620	7,1629	13,1427	8,1657	30,1604	770,1752	10,573	9,1409	616,1861	377,894	7,1796	36,1745	240,1725	1400,1869	423,1892	209,1886.5	110.5,1666	41,1622	98.5,1888	44.5,1784.5	160,1376	27,1120	68.5,1394	841.5,1746	465,1128.5	202,1442.5	22,1777.5	10,573	240.5,1733	409,1886	523,1840	994,1786	206,1838	289,1315	820,1866	189,1798	44,1852	532,1842	11,1777	472.5,1868	586,1873
Yawatahama	5	5	294.766	32982.8	111.894859	6.805999943	536,1184	472,1074	257,457	258,907	97,951	187,1200	382,1236	160,537	122,739	256,809	684,1479	893,1343	703,1644	1241,1792	615,1131	375,602	1318,1690	580,1232	1549,1761	199,1285	54,1341	214,801	1134,1650	225,686	143,1775	1110,1731	237,729	1368,1771	1089,1648	1353,1635	1125,1875	1552,1842	209,1683	597.5,1387	536,1185	1478,1805	860,1613	224,458.5	432,1016	733,1563.5	1263,1828.5	383.5,1038.5	108,969	353.5,643.5	224,688	65,803.5	901,1545	893,1652	902,1627	975,1727	289,1556	1220,1779	331,1339	473,1668	1031,1884	877,1779	472.5,1803	1184,1639
Hachinohe	1	22	242.4122727	29382.68182	121.2095472	6.921359529	116,1796	492,1785	4,1668	144,1828	121,1826	131,1831	132,1832	152,1607	84,1505	412,1877	1013,1873	353,1851	68,1623	274,1747	106,1852	21.5,1402	119,1492	32,1818	199,1675	146,1727	76,1671	21,1889	747,1880	14,1102	34,1891	562,1714	363,1620	109,1722	193,1578	240,1841	28,1841	128,1765	209,1360	35,1786	113.5,1796	11,1841	6,1853	58,1797.5	164.5,1327	128.5,1796.5	596,1887.5	202.5,1792.5	7.5,1593	139.5,1766	14,1101	20.5,1869	282,1783	314,1757	588,1739	158,1701	289,1627	525,1800	163,1804	91,1844	357,1855	371,1802	472.5,1869	461,1740
Ueda	3	16	158.1625	27053.25	171.0471825	7.41825053	22,1687	366,1887	44,1772	73,1632	230.5,1675	368,1840	277,1892	41,1050	67,1408	133,1806	339,1788	17,1494	40,1536	542,1825	527,1884	21.5,1894	491,1812	5,1815	156,1881	55,1675	117,1793	6,1834	613,1893	243,1587	375,1898	540,1837	1049,1865	123,1846	36,1462	240,1896	804,1889	642,1895	209,1762	201,1821	21,1687	850.5,1892	201,1829	160,1782.5	120,1157	268.5,1394	596,1892	2.5,1872.5	2,1826.5	89,1748	243,1590.5	123.5,1814	309,1863	302,1878	136,1875	210,1819	289,1743	821,1810	1090,1766	143,1853	111,1766	269,1892	472.5,1805	43,1853
Joetsu	3	3	721.6933333	97372.66667	134.9224971	7.075987114	1047,1758	1317,1643	108,459	21,654	541,1268	541,1315	391,1527	372,822	583,1022	191,1554	767,934	927,1096	656,1243	952,1565	1099,1484	294,1063	1232,1511	1377,1532	1250,1387	892,1538	1001,1539	1331,1745	717,960	969,1211	1137,1337	1250,1363	850,1298	842,1608	914,1360	885,1508	1328,1607	1102,1636	825,953	1077.5,1793	1047.5,1758	1123.5,1520.5	1157,1320.5	458.5,986	437,863	428.5,728	841.5,1043.5	1344,1641.5	594.5,969	296.5,1424	969,1212	230,323.5	367,865	1047,1305	501,1001	799,1202	868,1882	1131,1323	1762,1861	1230,1788	1046,1195	1022,1468	1481,1714	1054,1357
