Species	Head	Tail	Height	Forearm
BARB	44,58	41,54	6,8	35,41
FCHEV	50,69	30,43	11,13	51,61
GMUR	65,80	48,60	12,16	55,68
MBEC	46,53	34,44	9,11	39,44
MDAUB	41,51	30,39	8,11	33,41
MDEC	40,45	39,44	9,9	36,42
MGES	82,87	46,57	11,12	58,63
MGP	45,53	35,38	10,12	39,44
MNAT	42,50	32,43	8,9	36,42
MOUS	38,50	30,40	7,8	32,37
MSCH	52,60	50,60	10,11	42,48
NOCT	69,82	41,59	10,12	45,55
OCOM	41,51	34,50	9,10	34,50
OGRIS	47,53	43,53	7,9	37,41
PIPC	33,52	26,33	4,7	27,32
PIPN	44,48	34,44	7,8	31,36
PIPS	43,48	34,39	6,7	31,38
PRH	35,43	24,30	8,11	34,41
SBIC	50,63	40,45	8,10	40,47
SBOR	48,54	38,47	9,11	37,42
SCOM	62,80	46,57	9,12	48,56
