Name	HCT_R2E	dynamical clustering	Kohonen map	latitude	longitude	elevation	January	February	March	April	May	June	July	August	September	October	November	December
AnQing	6	5	4	0.640206419	0.260013633	0.994804485	1.8,7.1	2.1,7.2	5.2,11.2	13.5,21.9	18.6,25.8	22.9,29.5	27.5,35.3	24.3,31.2	20.1,26.2	15.5,22.3	7.8,17.9	4.3,11.8
BaoDing	5	3	4	0.355798159	0.290738749	0.995624829	-7.1,1.7	-5.3,4.8	0.2,10.8	9.1,22.2	14.4,26.1	20,31.7	22.4,30.5	21.6,28.8	16.7,26.6	9.5,20.5	0.8,14	-3.9,5.2
BeiJing	5	3	4	0.318105498	0.275904506	0.985507246	-7.2,2.1	-5.9,3.8	-0.6,9.6	8.7,21.1	14.4,26	19.7,30.5	22.1,30.5	21.2,28.6	16.6,26.7	8.7,20.4	1.5,12.7	-4.4,4.7
BoKeTu	1	2	1	0.015419725	0.159178067	0.798195242	-23.4,-15.5	-24,-14	-17.6,-4.7	-4.5,9.5	1.9,15.2	9.3,23	12.9,23	10.8,23.6	4.1,17	-4,8.9	-13.5,-4.2	-21.1,-13.1
ChangChun	2	2	1	0.18275458	0.088404635	0.935466229	-16.9,-6.7	-17.6,-6.8	-9.3,2.7	1.1,12.7	8.6,20.4	16.2,27.5	19.8,28	18.7,26.5	11,21.3	2.6,14.2	-7.9,2.2	-15.9,-7.2
ChangSha	6	5	5	0.720159406	0.342202802	0.98796828	2.7,7.4	3.1,7.7	6.5,12.6	12.9,22.9	19.2,26.8	21.9,31	25.7,34.8	24.4,32	20,27	15.3,22.8	7.6,19.6	4.1,13.3
ChengDu	6	5	5	0.635635327	0.530034164	0.861908668	2.2,10.5	3.4,9.9	5.5,11.9	11.3,21.8	17.4,26.5	21.4,29.3	21.9,28.9	21.1,27.4	18.1,24.2	14.3,19.4	9.8,16.7	5.3,10.8
ChongQing	6	5	5	0.672759171	0.479274531	0.929450369	6.6,10.9	6.9,11.3	8.8,13.8	14.1,23.3	19.7,27.7	22.4,30.7	25,33.8	24.1,32.2	19.8,25.2	15.8,20.5	12.2,17.1	8.9,12.3
DaLian	4	3	2	0.353512613	0.165062041	0.974842767	-4.7,1.3	-5.9,0.6	-0.8,6	6.3,14.4	12.5,20.3	17.3,24.6	20.9,26	21.9,27.5	18.1,24.1	12.3,18.8	3,9.8	-2.8,3.4
FuZhou	8	1	5	0.792690365	0.213749852	0.977303801	9.8,16.6	8,13.8	9.2,15.2	13.6,22.4	19.5,25.9	23.7,32.5	26.2,35.9	25,34.8	22.4,28.6	18.7,25.1	12.4,20.7	8.8,18.6
GuangZhou	8	1	5	0.893775228	0.337354739	0.998359311	12.2,20.6	11.4,17.7	12.7,17.9	17.4,24.3	24.2,30.3	25.1,32.8	25.3,33.6	25,31.9	24.1,31.4	21,28.5	14.2,23.4	10.9,22.2
GuiYang	6	5	5	0.775557337	0.474094976	0.707410446	3.3,9.9	2.1,7.8	5.1,12.9	11.1,20.8	17.1,24.8	18.7,27.6	21.4,29.2	19.5,27.6	16.6,24	13.2,19.9	9,17.4	6.7,13.8
HaErBin	2	2	1	0.12107568	0.061802444	0.953240361	-20,-9.6	-22.3,-10	-10.8,1.7	0.2,11.9	7.5,19	14.6,27.3	17.8,27.2	17.7,26.3	8.9,20.8	-0.2,12.5	-9.6,0.4	-21.6,-10.1
HaiKou	8	1	5	1	0.398825691	0.996445174	17.3,23	17.3,23	17.1,23.7	19.9,25.9	25.3,33.4	25.5,33.2	25.8,34	25,32.6	25.1,31.5	23,26.7	18.6,22.6	16.3,21.6
Hailaer	1	2	1	0	0.204074445	0.832649713	-28.4,-19.1	-29.6,-18.1	-20.2,-7.9	-2.9,10	3.8,16.5	12.5,24.2	14.7,25.4	13.7,24.8	5.3,17.6	-3.2,9.8	-13.8,-3.7	-26,-17.2
HaMi	2	4	2	0.219302754	0.747581666	0.79846869	-13.8,-2.4	-12.8,-1	-3.6,10	5.2,20.8	11.7,25.7	17,32	17.9,34	17.6,33.7	13.2,29.6	3.2,18.1	-4.4,8.9	-9.9,1.4
HangZhou	6	5	5	0.650486235	0.195434948	0.988788625	2.5,8.7	1.9,7.3	4.7,11.6	11.8,21.2	16.9,25.1	21.7,29.5	26.1,35.8	23.5,30.8	19.9,26.6	15.2,23	6.9,18	3.4,12.6
HanZhong	5	3	4	0.553396794	0.464088077	0.861361772	-0.4,8.1	0.7,7.2	3.3,10	9.9,21.1	16.4,26.5	20.2,30.1	22.4,29.4	21,28.3	16.9,23.8	12.2,17.7	4.6,14.9	0.7,8.3
HuHeHaoTe	2	4	1	0.288407108	0.372244218	0.709598031	-16.5,-6.1	-13.6,-1.5	-7.8,3.7	0.4,15.1	8.9,22.5	14.4,27.6	17.7,28	15.6,24.4	8.9,22.1	1.6,14.6	-7.4,5.3	-12.8,-2.5
JiNan	5	3	4	0.429470178	0.261401753	0.986054143	-2.6,4.5	-2,5.7	2.7,11.5	11.9,21.9	16.6,26.7	22.1,33.2	22.6,30.7	22.1,30.4	17.9,27.8	11.9,22	4.8,15.1	-0.9,6.2
Jiu Quan	2	4	1	0.323814223	0.643990577	0.596390484	-14,-0.9	-12.1,-1.2	-6.2,5.7	2.8,17.6	8.3,21.6	12.5,26.1	15,29.4	13.9,28	9.1,22.9	1,14.1	-5.2,8.1	-11.3,1.2
KunMing	7	5	5	0.82923854	0.557672267	0.483182937	2.8,16.6	4,19.4	6.7,21.4	10.4,23.4	15.9,25.3	16.4,25.3	16.9,24.4	16.6,23.8	14,21.7	12.4,19.7	7.4,16.3	3.8,15.5
LanZhou	2	4	2	0.451170871	0.532810406	0.585452557	-9.4,2.6	-6.5,3.7	-1.2,8.8	6.1,19.6	11,23.4	14.3,27.9	17.2,30.3	15.7,28.1	12,22.4	6.5,15.1	-2.2,11	-6.6,4
LaSa	3	4	2	0.668760323	0.796961466	0	-8.4,9	-3.5,11.2	-1.2,13.7	1.7,16.4	5.9,21.5	9.7,24.8	10.8,23.2	10.2,20.8	7.7,19.9	1.4,18.7	-4.9,11.4	-7.5,8.8
LiuZhou	8	3	5	0.84808487	0.419191699	0.973475526	8.6,14.4	7.3,10.6	10.7,15.6	16.2,23.3	22.4,28.9	24.9,33.8	26.2,33.9	25.1,31.8	23.9,31.1	19.4,26.8	14.1,23.8	11.3,20.5
MuDanJiang	2	2	1	0.159337157	0	0.934372436	-18.4,-7.5	-19.2,-7.3	-10.7,2.4	-0.1,13.2	6.8,18.5	13.7,26.1	17,26.5	18.9,28.4	10.3,21.4	0.6,13.1	-8.9,1.5	-18.9,-7.8
NanChang	6	5	5	0.706452984	0.283487373	0.987421384	3.1,7.5	3,7.6	6.3,12	14,22	19.6,26.1	23.4,30.2	27.2,35.7	25.5,32.6	21.1,26.8	16.9,23.6	9.3,19	5.4,14.5
NanJing	5	5	5	0.588235093	0.224108961	0.997812415	-0.3,7.6	-0.3,6.9	3.1,11.7	10.5,21.1	16.1,25.2	21.1,28.8	26.2,34.3	23.2,30.8	18.6,26.4	13.7,22	3.8,17.5	0.9,10.8
NanNing	8	1	5	0.904623862	0.440262127	0.980585179	11.5,17.7	10.3,14.3	12.1,17.3	17.8,24.2	23.8,30.7	24.9,33.2	25.8,33.5	25.1,31.9	24.2,31.5	20.3,26.9	14.8,24.3	12.4,22.4
NenJiang	1	2	1	0.001713303	0.090476457	0.934098988	-27.9,-16	-27.7,-12.9	-16.5,-3.4	-1.5,12	4.5,17.5	13.7,26.7	16.1,25	14.5,26	6.9,19.2	-2.6,10.9	-14.4,-3.6	-26.1,-13.8
QingDao	4	3	3	0.450598628	0.191995724	0.979491386	-2.5,3.2	-2.7,4.2	1.1,8	7.4,15.3	13.1,20.1	18.1,24.1	22.8,27.7	22.9,28.4	19.4,25.6	13.8,20.3	5.9,13.2	-0.4,5.5
QingJiang	5	3	4	0.535122707	0.218929407	0.995351381	-1.6,6	-1.7,6	1.9,10.5	9.6,20.6	15.2,24.6	19.9,28.4	25.1,32.8	21.8,29.5	17.2,26.1	12,21.3	3.8,16	-0.3,8.5
QiQiHaEr	2	2	1	0.062823386	0.117741631	0.960350014	-22.7,-11.5	-21.1,-9.6	-11.5,0.7	0.6,13.8	7.8,18.9	16.7,27.4	19.1,26.5	19.1,26.9	10.5,19.8	1.9,12.2	-9,0.2	-17.8,-9.1
QuZhou	6	5	5	0.693887621	0.222037139	0.98195242	4,9.2	2.8,7.9	6,12.3	12.4,21.7	18,25.5	22.5,29.9	26.4,36.3	24.5,32.8	20.1,26.7	15.8,23.9	6.5,18.7	2.8,14.6
ShangHai	6	5	5	0.618502299	0.169205684	0.999179655	2.4,9	2,7.7	4.4,11.2	11.1,20.1	16,23.7	21.2,28	25.9,33.8	23.7,30.6	20.1,26.5	16,22.9	6.5,17.1	3,11.8
ShanTou	8	1	5	0.884636471	0.267617218	1	11.8,19.2	12.2,17.7	12.7,17.8	16.4,22.7	22.5,28.1	24.9,31.5	25.6,32.6	24.9,30.8	23.8,30	20.4,27.3	13.9,22.6	10,19.7
ShenYang	2	4	1	0.255282112	0.127769249	0.988788625	-11.9,-1.9	-12.8,-2.7	-5.2,6	4,15.4	11.7,23	18.1,28.4	22.2,29.7	21.2,28.6	14.4,24.1	6,17.8	-3.1,6.3	-9.9,-1.2
TaiYuan	2	4	1	0.391777517	0.353245612	0.787530763	-11.2,2.4	-9,3.9	-3.9,8.8	3.7,19.3	11.5,25	14.9,29.1	18.5,27.8	17.2,25.9	11.5,24.4	5.2,18.5	-4.3,11.6	-8.7,3.6
TengChong	7	5	5	0.825811934	0.644682566	0.549630845	2.3,16.9	4,18.9	6.4,21.3	9.9,24.3	15,22.6	17.2,24.1	17.4,22.8	17.4,22.5	16.3,23.2	14.5,23.5	9.4,20	4.7,17.8
TianJin	5	3	4	0.346659402	0.257589601	0.999453104	-6.5,2	-5.2,3.9	0.5,9.5	9.3,20.7	15.2,25.6	20.5,30.6	22.6,30.1	22,29.5	17.5,26.9	10.7,20.7	2.4,12.6	-3.4,4.9
TianShui	2	3	2	0.501428895	0.494129493	0.690730107	-5.2,5.3	-3.8,4.4	0,7.7	6.6,19.5	12.3,23.7	15.9,27.8	18.6,28.2	17.1,26.2	13.2,21	8.1,15.5	-0.6,11.3	-3.5,4.5
WenZhou	6	5	5	0.726440374	0.185075839	0.998359311	6.9,12.9	5.7,10.8	7.6,12.8	12.7,20.8	18.1,24	22.2,28.7	26.2,34.6	25.3,32.5	21.6,28.1	17.6,25.1	9.3,19.8	6.2,16.6
WuHan	6	5	5	0.63734863	0.320448674	0.99398414	0.6,7.3	1.3,8.2	4.8,12.3	12.5,22.7	18.5,26.5	22.4,30.3	26.6,34.8	24.3,31.6	19.3,27.1	13.7,22.4	6.3,19.3	3.3,11.9
WuLuMuQi	2	4	1	0.186181185	0.869819151	0.749248018	-15.6,-7.6	-19.4,-9.8	-7.3,0.2	4.5,16.8	8.4,18.9	14.9,27.3	17.4,30	15.8,28.2	12.6,24.7	2.5,12.5	-3.9,2.7	-9.8,-1.3
WuZhou	8	1	5	0.881782109	0.379143385	0.967733115	10,17.7	9.1,14.7	10.4,16.2	15.8,23.9	22.2,30.3	23.9,34.3	24.2,33.8	23.4,32.1	22.3,31.8	19.2,27.6	12.4,23.2	9.8,21.6
XiaMen	8	1	5	0.847516054	0.238943205	0.962264151	10.4,18.5	9.7,16.3	10.2,16.1	14.5,21.4	20.3,26.2	24.1,31.2	25.2,33	24.6,31.8	22.8,29.1	20.1,26.4	14.2,21.4	10.3,19
XiAn	5	3	4	0.511136468	0.428183406	0.89171452	-3.5,5.9	-1.8,6.1	1.3,9.6	8.6,21.3	15,25.7	19.4,32.5	21.4,29.9	20.6,29.3	16.6,24.9	10.9,18.1	2.8,15.1	-2.5,6.3
XiChang	7	5	5	0.730439222	0.566291045	0.565490839	5.3,18.5	7.9,22.1	9.9,24.9	11.7,25.1	17.6,29.7	18.4,28.9	19.8,29	18.7,26.9	15.4,22.4	14.3,21.7	9.8,17.2	7.1,18
XiNing	3	4	1	0.431752298	0.576650154	0.38200711	-12.1,2.7	-9.8,3.2	-4.3,6.5	1.8,15.7	7.6,19.4	10.3,23.7	12.6,25.4	11.8,24.3	8.2,18.5	3.2,11.6	-3.9,9.2	-9.3,6
XuZhou	5	3	4	0.511708711	0.257941811	0.989062073	-2.7,5.9	-2,7.1	1.4,11.5	9.5,21.7	15.7,25.7	20.5,31.3	25,33.5	21.7,30.1	16.6,27	11.4,21.2	2.5,16.3	-1.1,8.5
YanTai	4	3	3	0.400344031	0.169889385	0.987421384	-2.5,3.1	-3.3,2.4	0.8,7.6	8.5,17.5	14.9,23.5	18.6,27.1	21.5,27.5	22.2,27.3	19.1,24.9	13.8,19.9	6.5,11.9	0.1,4.8
Yi Ning	2	4	1	0.180469034	1	0.819250752	-13.1,-1.4	-16.3,-4.5	-3.7,7	6.8,21.9	9.5,22	14.7,29	16.6,30.8	14.3,28.8	10.8,25.9	2.6,17.7	0,12.4	-4.7,5.7
YiChang	6	5	5	0.634494267	0.379143385	0.96390484	2.3,8.1	2.5,8.7	5.2,13.2	12.8,24.5	18,26.7	21.7,30.2	25.7,35.4	23.6,31.2	19.6,27	14.1,21.9	9.3,19.6	4.2,11.6
YinChuan	2	4	1	0.367791279	0.484454085	0.69619907	-12.8,-0.6	-10.3,1.9	-4.2,7.2	3.4,18.3	11.2,23.3	15.3,27.8	17.9,29.4	16,27	10.4,23.5	4.2,15.9	-3.3,8.6	-9.3,1.1
